bus,ac_component,response_zone_id,component_zone_count,component_silhouette,feature_norm,active_mode_count,clustering_basis
3301,3,C003-Z001,2,0.9199313160476971,0.005582090215492081,8,centered_event_weighted_directional_ptdf
3311,3,C003-Z001,2,0.9199313160476971,0.0045777916777472475,8,centered_event_weighted_directional_ptdf
3321,3,C003-Z001,2,0.9199313160476971,0.006738001203811174,8,centered_event_weighted_directional_ptdf
3330,3,C003-Z001,2,0.9199313160476971,0.005763755577431033,8,centered_event_weighted_directional_ptdf
3331,3,C003-Z001,2,0.9199313160476971,0.005763755577431082,8,centered_event_weighted_directional_ptdf
3332,3,C003-Z001,2,0.9199313160476971,0.005763755577418221,8,centered_event_weighted_directional_ptdf
3341,3,C003-Z001,2,0.9199313160476971,0.007811472289653418,8,centered_event_weighted_directional_ptdf
3342,3,C003-Z001,2,0.9199313160476971,0.008210272242318474,8,centered_event_weighted_directional_ptdf
3352,3,C003-Z001,2,0.9199313160476971,0.009699427459524596,8,centered_event_weighted_directional_ptdf
3361,3,C003-Z001,2,0.9199313160476971,0.004584966965288008,8,centered_event_weighted_directional_ptdf
3381,3,C003-Z001,2,0.9199313160476971,0.0032251369028167137,8,centered_event_weighted_directional_ptdf
3391,3,C003-Z001,2,0.9199313160476971,0.0057637555774207915,8,centered_event_weighted_directional_ptdf
3401,3,C003-Z001,2,0.9199313160476971,0.006919101991434356,8,centered_event_weighted_directional_ptdf
3421,3,C003-Z001,2,0.9199313160476971,0.009870461521785945,8,centered_event_weighted_directional_ptdf
3431,3,C003-Z001,2,0.9199313160476971,0.009224378693405201,8,centered_event_weighted_directional_ptdf
3441,3,C003-Z001,2,0.9199313160476971,0.007318034944668012,8,centered_event_weighted_directional_ptdf
3461,3,C003-Z001,2,0.9199313160476971,0.0054858000703141155,8,centered_event_weighted_directional_ptdf
3462,3,C003-Z001,2,0.9199313160476971,0.00581439010029786,8,centered_event_weighted_directional_ptdf
3464,3,C003-Z001,2,0.9199313160476971,0.007549015248180354,8,centered_event_weighted_directional_ptdf
3471,3,C003-Z001,2,0.9199313160476971,0.00922437869340555,8,centered_event_weighted_directional_ptdf
3472,3,C003-Z001,2,0.9199313160476971,0.009224378693420621,8,centered_event_weighted_directional_ptdf
3481,3,C003-Z001,2,0.9199313160476971,0.00548580007031424,8,centered_event_weighted_directional_ptdf
3491,3,C003-Z001,2,0.9199313160476971,0.011396130684844798,8,centered_event_weighted_directional_ptdf
3501,3,C003-Z001,2,0.9199313160476971,0.01995961943591787,8,centered_event_weighted_directional_ptdf
3511,3,C003-Z001,2,0.9199313160476971,0.0043601478950112725,8,centered_event_weighted_directional_ptdf
3521,3,C003-Z001,2,0.9199313160476971,0.007083107182243704,8,centered_event_weighted_directional_ptdf
3522,3,C003-Z001,2,0.9199313160476971,0.014680638817338304,8,centered_event_weighted_directional_ptdf
3531,3,C003-Z001,2,0.9199313160476971,0.005674646605801961,8,centered_event_weighted_directional_ptdf
3541,3,C003-Z001,2,0.9199313160476971,0.004377557005146836,8,centered_event_weighted_directional_ptdf
3550,3,C003-Z001,2,0.9199313160476971,0.009084554493918607,8,centered_event_weighted_directional_ptdf
3551,3,C003-Z001,2,0.9199313160476971,0.007263441514278452,8,centered_event_weighted_directional_ptdf
3554,3,C003-Z001,2,0.9199313160476971,0.009084554493893091,8,centered_event_weighted_directional_ptdf
3561,3,C003-Z001,2,0.9199313160476971,0.0047806606605298434,8,centered_event_weighted_directional_ptdf
3571,3,C003-Z001,2,0.9199313160476971,0.00273848438176347,8,centered_event_weighted_directional_ptdf
3581,3,C003-Z001,2,0.9199313160476971,0.35533996801288625,8,centered_event_weighted_directional_ptdf
3591,3,C003-Z001,2,0.9199313160476971,0.3361222751883563,8,centered_event_weighted_directional_ptdf
3601,3,C003-Z001,2,0.9199313160476971,0.0056431470860416446,8,centered_event_weighted_directional_ptdf
3611,3,C003-Z001,2,0.9199313160476971,0.00564314708604252,8,centered_event_weighted_directional_ptdf
3621,3,C003-Z001,2,0.9199313160476971,0.0034935703086921197,8,centered_event_weighted_directional_ptdf
3631,3,C003-Z001,2,0.9199313160476971,0.0044279687240852475,8,centered_event_weighted_directional_ptdf
3641,3,C003-Z001,2,0.9199313160476971,0.007900689328428804,8,centered_event_weighted_directional_ptdf
3642,3,C003-Z001,2,0.9199313160476971,0.007948316405152124,8,centered_event_weighted_directional_ptdf
3651,3,C003-Z001,2,0.9199313160476971,0.009224378693404414,8,centered_event_weighted_directional_ptdf
3662,3,C003-Z001,2,0.9199313160476971,0.37914077841684596,8,centered_event_weighted_directional_ptdf
3681,3,C003-Z001,2,0.9199313160476971,0.009224378693405439,8,centered_event_weighted_directional_ptdf
3691,3,C003-Z001,2,0.9199313160476971,0.03959830157808026,8,centered_event_weighted_directional_ptdf
3751,3,C003-Z001,2,0.9199313160476971,0.00924354671628762,8,centered_event_weighted_directional_ptdf
3761,3,C003-Z001,2,0.9199313160476971,0.008132390420201483,8,centered_event_weighted_directional_ptdf
